State,District,Latitude,Longitude,District code,Households_with_Internet,Households_with_Computer,Hindus,Population,Rural_Households,Urban_Households,Married_couples_None_Households,sex_ratio,literacy_rate
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2737,18983,2126195,2359886,525596,65167,56755,98.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,1316,4543,171537,191173,10006,61073,20475,53.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,6628,26991,2397056,2743082,489237,287506,48541,95.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,23440,56266,622213,818008,115859,209230,33432,96.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,17624,44299,341664,640537,88620,162873,29104,99.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,126341,273651,6042416,7214225,353169,1845383,153824,90.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,2538,12765,1410463,1514190,313714,116899,25861,96.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,9902,32523,1798794,2092745,413078,208909,52524,92.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3424,23149,2890305,3120506,666773,137424,42887,94.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,10257,29531,1188204,1551019,300677,181319,46331,93.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,7297,28925,2632574,2880365,387251,356826,50468,93.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,12107,33662,1319586,1391753,237624,195634,31219,92.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,11573,30384,1810443,2160119,347158,299167,41462,94.0,65.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,6628,26991,2397056,2743082,489237,287506,48541,95.0,67.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,9631,31961,1608921,2092371,488293,250982,67208,91.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,5710,24502,2000884,2299885,461479,160547,52607,94.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,7759,33731,1885732,2035064,476005,183738,47902,93.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,576,4081,559848,590297,138121,22248,13207,96.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,6726,24397,1225087,1329672,267739,141417,40551,96.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,3456,19753,2220974,2390776,463363,104238,46248,95.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,2231,12870,1194745,1343734,301483,102655,28893,94.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,1653,5639,549749,585449,96015,87557,14672,95.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,21785,67370,3397406,3804558,459474,721532,73551,93.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,5262,25425,2260560,2428589,544024,121509,47395,95.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,55694,149331,5260193,6081322,369840,1529998,216710,79.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,2975,15309,1620282,1756268,340788,159810,31802,93.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,137,1393,203545,228291,52102,7516,3585,101.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,53606,117818,3713941,4165626,547454,692971,98592,93.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,11020,31285,1571147,1705678,262410,235981,48960,92.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,12899,32767,955096,1128350,175365,139891,19110,88.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,5292,25236,1611031,1634445,357047,99235,30740,89.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,43437,82673,1588407,1809733,87700,382981,36470,87.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,3210,13142,779243,942011,203020,55360,14987,90.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,67087,102343,1408801,1514432,141703,381988,46021,85.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,10132,33400,1701061,1743931,302013,154113,30379,87.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,5034,19241,945693,958405,211816,78328,21450,86.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,5263,23750,1276669,1334152,278335,89665,27130,87.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,3724,15301,974520,1074304,231091,75696,21134,88.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,11163,29253,1341002,1505324,292682,135920,26197,89.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,7356,21951,805175,964655,203553,88268,19412,89.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,2624,13908,913251,922088,223726,44216,15579,89.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,18615,32174,490702,561293,70895,93656,11923,87.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,10024,26719,1083936,1205437,173502,153804,19784,86.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,5121,18092,889133,900332,199449,69305,16378,90.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,8482,27225,1043887,1061204,175203,131739,20753,87.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,6287,22706,940255,1295189,245476,93316,19922,90.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,1574,6281,371973,381956,152458,11987,10379,98.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,8566,30892,2540763,2663629,549632,188174,80579,97.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,1615,5117,479782,519080,186395,13836,14306,99.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,2521,7525,449412,454768,196116,15232,20594,110.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1196,11037,1010014,1104285,256081,55300,20040,86.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,8053,22753,1461140,1510075,588321,39007,53296,101.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,354,2563,64732,84121,44514,0,6442,82.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,2623,7010,415669,437903,167995,20709,15223,94.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,5333,16401,981412,999777,431129,31696,29336,101.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,9177,24127,791449,814010,279269,95896,34174,92.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,2220,8593,476830,529855,171102,21054,11878,92.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,5250,14478,548579,580320,192787,51509,23422,88.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,2412,8238,480138,521173,185091,20126,15651,98.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,596,3077,187621,409936,122267,11350,8378,92.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,19905,46657,1289240,1529958,254566,248043,35100,88.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,235,1005,10341,140802,40370,7774,2368,81.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,1443,6112,540063,616435,181374,33473,10163,89.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,1537,5293,13840,560440,147520,21703,7528,91.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,346,3342,32604,476835,132139,15269,7453,89.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,16413,33831,42540,1236829,4518,257721,18993,90.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,1214,5744,489044,554985,148664,34696,10902,87.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,9754,37997,1636460,2062330,250312,258452,39769,92.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,590,9115,903179,1042886,200974,14528,12331,95.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1944,13550,1165140,1492073,257373,64337,19776,93.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,11568,46646,2149480,2684487,258764,405455,55945,91.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1193,10396,1044726,1321442,303697,23281,30542,98.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,565,8881,1104475,1322784,272872,19180,14047,94.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,1944,19976,1856202,2445474,452564,46886,23104,94.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,874,11925,937126,1313551,276454,15576,27079,94.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,831,7807,309563,1025213,216629,16445,23395,99.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,808,4959,550560,791042,165555,20113,12972,95.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,340,6240,473049,726978,146377,14137,11563,97.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,351,2954,112378,461790,96759,14725,11177,99.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,328,4535,410127,900422,200588,16587,21940,99.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,2155,19981,1683169,1939869,355529,52375,26800,93.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,22538,76565,1612239,2914253,420740,310242,63936,95.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,591,9563,628044,1150567,223450,37543,23276,95.0,42.0
